date,region,rainfall,temperature,humidity
2020-04-24,Aceh,0.0,28.6,64.4
2020-04-25,Aceh,0.0,32.0,69.0
2020-04-26,Aceh,5.83,29.3,79.5
2020-04-27,Aceh,28.55,32.1,83.4
2020-04-28,Aceh,12.86,26.4,77.8
2020-04-29,Aceh,17.18,27.8,85.2
2020-04-30,Aceh,0.0,30.6,67.1
2020-05-01,Aceh,0.0,33.7,58.8
2020-05-02,Aceh,0.0,30.9,59.2
2020-05-03,Aceh,0.0,36.7,61.9
2020-05-04,Aceh,0.0,35.3,62.5
2020-05-05,Aceh,9.08,26.0,100.0
2020-05-06,Aceh,10.71,24.8,86.0
2020-05-07,Aceh,0.0,31.6,64.5
2020-05-08,Aceh,0.0,30.7,54.2
2020-05-09,Aceh,5.89,29.8,85.0
2020-05-10,Aceh,13.2,31.0,87.7
2020-05-11,Aceh,0.0,31.2,58.3
2020-05-12,Aceh,0.0,33.9,84.1
2020-05-13,Aceh,0.0,32.1,66.3
2020-05-14,Aceh,0.0,30.7,60.1
2020-05-15,Aceh,0.0,30.3,59.5
2020-05-16,Aceh,0.0,32.1,56.7
2020-05-17,Aceh,0.0,32.8,64.2
2020-05-18,Aceh,0.0,30.8,72.6
2020-05-19,Aceh,0.0,33.1,67.1
2020-05-20,Aceh,0.0,28.7,70.4
2020-05-21,Aceh,0.0,30.9,55.0
2020-05-22,Aceh,0.0,28.7,65.5
2020-05-23,Aceh,1.12,29.6,84.7
2020-05-24,Aceh,0.0,29.6,63.5
2020-05-25,Aceh,3.58,26.8,88.8
2020-05-26,Aceh,0.0,33.1,79.4
2020-05-27,Aceh,0.0,28.5,54.7
2020-05-28,Aceh,0.0,32.7,59.0
2020-05-29,Aceh,0.0,33.0,80.8
2020-05-30,Aceh,0.0,32.7,60.9
2020-05-31,Aceh,0.0,31.4,61.8
2020-06-01,Aceh,0.0,32.6,85.8
2020-06-02,Aceh,0.0,31.5,74.5
2020-06-03,Aceh,0.0,27.9,54.9
2020-06-04,Aceh,0.0,34.1,56.6
2020-06-05,Aceh,0.0,32.7,62.8
2020-06-06,Aceh,0.0,33.8,66.0
2020-06-07,Aceh,0.0,29.0,76.4
2020-06-08,Aceh,7.24,30.5,85.9
2020-06-09,Aceh,0.0,32.5,54.1
2020-06-10,Aceh,0.0,30.4,65.7
2020-06-11,Aceh,0.0,31.0,61.5
2020-06-12,Aceh,0.0,33.7,62.3
2020-06-13,Aceh,0.0,30.0,60.7
2020-06-14,Aceh,0.0,30.9,73.7
2020-06-15,Aceh,0.0,34.7,48.7
2020-06-16,Aceh,0.0,32.6,47.2
2020-06-17,Aceh,0.0,35.0,66.8
2020-06-18,Aceh,0.0,37.3,66.1
2020-06-19,Aceh,0.0,33.5,67.2
2020-06-20,Aceh,0.0,32.9,83.8
2020-06-21,Aceh,0.0,34.7,66.8
2020-06-22,Aceh,0.0,32.2,55.1
2020-06-23,Aceh,0.0,31.7,90.4
2020-06-24,Aceh,0.0,33.0,63.4
2020-06-25,Aceh,0.0,31.1,73.5
2020-06-26,Aceh,0.0,27.4,52.1
2020-06-27,Aceh,0.0,29.4,50.0
2020-06-28,Aceh,0.0,31.5,62.5
2020-06-29,Aceh,0.0,31.5,73.0
2020-06-30,Aceh,0.0,31.7,83.5
2020-07-01,Aceh,10.76,27.5,79.5
2020-07-02,Aceh,5.0,28.3,85.1
2020-07-03,Aceh,0.0,32.0,63.9
2020-07-04,Aceh,0.0,32.3,64.7
2020-07-05,Aceh,0.0,30.9,78.9
2020-07-06,Aceh,0.0,26.7,77.5
2020-07-07,Aceh,0.0,27.9,67.9
2020-07-08,Aceh,0.0,31.5,50.9
2020-07-09,Aceh,0.0,30.4,61.4
2020-07-10,Aceh,0.0,31.9,74.4
2020-07-11,Aceh,11.72,29.4,79.4
2020-07-12,Aceh,5.39,27.7,78.9
2020-07-13,Aceh,8.3,29.4,87.2
2020-07-14,Aceh,0.0,35.3,54.9
2020-07-15,Aceh,0.0,33.2,61.9
2020-07-16,Aceh,0.92,31.5,82.4
2020-07-17,Aceh,0.0,34.1,78.2
2020-07-18,Aceh,0.0,28.5,52.2
2020-07-19,Aceh,0.0,35.5,47.5
2020-07-20,Aceh,0.0,30.9,59.6
2020-07-21,Aceh,0.0,32.8,74.7
2020-07-22,Aceh,0.0,31.9,61.4
2020-07-23,Aceh,0.0,31.9,86.6
2020-07-24,Aceh,0.0,33.3,66.7
2020-07-25,Aceh,0.0,31.6,52.1
2020-07-26,Aceh,0.0,32.2,67.0
2020-07-27,Aceh,0.0,30.0,85.1
2020-07-28,Aceh,0.0,33.4,67.6
2020-07-29,Aceh,0.0,34.0,55.0
2020-07-30,Aceh,0.0,33.0,46.6
2020-07-31,Aceh,0.0,29.4,61.5
2020-08-01,Aceh,0.0,32.4,58.9
2020-08-02,Aceh,0.0,29.2,78.4
2020-08-03,Aceh,0.0,30.2,55.5
2020-08-04,Aceh,0.0,37.3,66.0
2020-08-05,Aceh,0.0,32.4,59.2
2020-08-06,Aceh,0.0,32.2,48.1
2020-08-07,Aceh,0.0,34.0,64.7
2020-08-08,Aceh,0.0,35.5,49.4
2020-08-09,Aceh,0.0,31.2,71.3
2020-08-10,Aceh,0.0,33.9,47.4
2020-08-11,Aceh,10.87,25.4,83.9
2020-08-12,Aceh,0.0,32.8,71.1
2020-08-13,Aceh,0.0,34.6,75.6
2020-08-14,Aceh,0.0,31.9,48.4
2020-08-15,Aceh,0.0,33.6,66.3
2020-08-16,Aceh,1.87,30.1,90.6
2020-08-17,Aceh,0.0,31.8,74.4
2020-08-18,Aceh,3.26,27.1,83.5
2020-08-19,Aceh,1.95,30.6,84.1
2020-08-20,Aceh,0.0,31.1,58.5
2020-08-21,Aceh,0.0,34.1,67.7
2020-08-22,Aceh,0.0,33.8,72.1
2020-08-23,Aceh,0.0,32.1,59.8
2020-08-24,Aceh,0.0,34.8,74.2
2020-08-25,Aceh,0.0,32.6,60.5
2020-08-26,Aceh,0.0,34.9,56.3
2020-08-27,Aceh,8.75,26.0,79.7
2020-08-28,Aceh,0.0,31.9,67.3
2020-08-29,Aceh,0.0,29.9,71.8
2020-08-30,Aceh,0.0,34.0,62.9
2020-08-31,Aceh,0.0,36.6,58.4
2020-09-01,Aceh,0.0,32.3,69.9
2020-09-02,Aceh,0.0,28.9,65.7
2020-09-03,Aceh,0.0,30.8,59.4
2020-09-04,Aceh,0.0,31.0,63.3
2020-09-05,Aceh,0.0,34.8,59.3
2020-09-06,Aceh,0.0,32.7,61.2
2020-09-07,Aceh,0.0,32.4,49.8
2020-09-08,Aceh,0.0,30.3,66.6
2020-09-09,Aceh,0.0,30.8,61.1
2020-09-10,Aceh,0.0,33.1,75.8
2020-09-11,Aceh,0.0,31.6,57.0
2020-09-12,Aceh,0.0,33.8,55.5
2020-09-13,Aceh,0.0,31.0,67.2
2020-09-14,Aceh,0.0,25.0,56.3
2020-09-15,Aceh,0.0,31.0,75.4
2020-09-16,Aceh,0.0,28.7,69.6
2020-09-17,Aceh,0.0,33.2,76.1
2020-09-18,Aceh,0.0,32.8,72.2
2020-09-19,Aceh,0.0,34.1,76.7
2020-09-20,Aceh,0.0,30.7,69.8
2020-09-21,Aceh,0.0,31.7,66.5
2020-09-22,Aceh,0.0,30.6,69.9
2020-09-23,Aceh,0.0,32.1,77.8
2020-09-24,Aceh,8.88,25.0,78.2
2020-09-25,Aceh,0.0,33.5,80.0
2020-09-26,Aceh,5.87,29.1,85.2
2020-09-27,Aceh,0.0,33.2,66.9
2020-09-28,Aceh,5.71,28.8,90.4
2020-09-29,Aceh,1.98,30.4,77.4
2020-09-30,Aceh,6.56,26.9,92.8
2020-10-01,Aceh,0.0,31.9,48.0
2020-10-02,Aceh,0.0,31.2,50.5
2020-10-03,Aceh,0.0,27.6,71.5
2020-10-04,Aceh,0.0,34.0,67.4
2020-10-05,Aceh,0.0,30.9,62.8
2020-10-06,Aceh,0.0,29.7,83.5
2020-10-07,Aceh,0.0,29.9,74.0
2020-10-08,Aceh,0.0,31.6,52.5
2020-10-09,Aceh,0.0,34.9,70.1
2020-10-10,Aceh,0.0,31.9,68.4
2020-10-11,Aceh,0.0,32.9,69.6
2020-10-12,Aceh,0.0,33.2,67.0
2020-10-13,Aceh,0.0,33.4,54.7
2020-10-14,Aceh,4.81,25.3,83.4
2020-10-15,Aceh,0.0,32.3,58.2
2020-10-16,Aceh,0.0,30.7,75.0
2020-10-17,Aceh,0.0,31.1,40.8
2020-10-18,Aceh,0.0,34.0,54.1
2020-10-19,Aceh,0.0,30.1,64.5
2020-10-20,Aceh,0.0,36.8,64.8
2020-10-21,Aceh,0.0,31.6,65.3
2020-10-22,Aceh,0.0,30.2,65.4
2020-10-23,Aceh,0.0,30.0,62.2
2020-10-24,Aceh,0.0,34.0,71.2
2020-10-25,Aceh,0.0,34.8,74.2
2020-10-26,Aceh,15.81,28.7,89.5
2020-10-27,Aceh,0.0,33.3,66.1
2020-10-28,Aceh,0.0,33.9,85.8
2020-10-29,Aceh,0.0,30.6,61.3
2020-10-30,Aceh,5.83,25.9,82.4
2020-10-31,Aceh,0.0,32.0,86.4
2020-11-01,Aceh,0.0,30.1,72.5
2020-11-02,Aceh,0.0,32.1,66.2
2020-11-03,Aceh,13.18,28.4,83.7
2020-11-04,Aceh,0.0,28.7,74.3
2020-11-05,Aceh,36.81,24.9,95.0
2020-11-06,Aceh,0.0,34.2,64.6
2020-11-07,Aceh,0.0,28.7,59.3
2020-11-08,Aceh,0.0,35.0,78.8
2020-11-09,Aceh,0.0,32.8,58.1
2020-11-10,Aceh,0.0,30.9,58.3
2020-11-11,Aceh,0.0,32.6,62.1
2020-11-12,Aceh,0.0,33.1,61.3
2020-11-13,Aceh,1.51,28.5,83.2
2020-11-14,Aceh,0.0,29.8,73.1
2020-11-15,Aceh,6.24,24.9,83.6
2020-11-16,Aceh,21.21,25.4,83.7
2020-11-17,Aceh,45.85,26.3,87.6
2020-11-18,Aceh,15.42,32.2,86.8
2020-11-19,Aceh,0.0,34.6,62.4
2020-11-20,Aceh,17.11,29.5,85.3
2020-11-21,Aceh,18.04,25.9,85.4
2020-11-22,Aceh,2.27,29.8,86.7
2020-11-23,Aceh,0.0,27.8,94.4
2020-11-24,Aceh,0.0,34.2,54.6
2020-11-25,Aceh,24.6,26.7,84.0
2020-11-26,Aceh,0.0,32.4,64.7
2020-11-27,Aceh,0.0,36.0,67.0
2020-11-28,Aceh,41.09,30.2,90.9
2020-11-29,Aceh,7.42,31.3,86.5
2020-11-30,Aceh,0.0,30.5,75.1
2020-12-01,Aceh,0.0,31.5,81.1
2020-12-02,Aceh,0.0,32.9,48.2
2020-12-03,Aceh,0.0,30.1,71.0
2020-12-04,Aceh,0.0,33.4,77.9
2020-12-05,Aceh,82.45,25.4,76.8
2020-12-06,Aceh,0.0,30.0,43.5
2020-12-07,Aceh,5.91,26.8,90.4
2020-12-08,Aceh,0.0,35.1,74.8
2020-12-09,Aceh,0.0,31.4,60.5
2020-12-10,Aceh,19.69,30.0,97.2
2020-12-11,Aceh,0.0,33.4,70.8
2020-12-12,Aceh,0.0,33.5,67.8
2020-12-13,Aceh,17.21,29.1,80.6
2020-12-14,Aceh,8.3,29.8,77.1
2020-12-15,Aceh,0.0,30.8,49.1
2020-12-16,Aceh,29.79,26.1,82.0
2020-12-17,Aceh,0.0,32.6,79.0
2020-12-18,Aceh,0.0,31.8,66.3
2020-12-19,Aceh,0.0,31.1,77.1
2020-12-20,Aceh,0.0,32.8,58.0
2020-12-21,Aceh,0.0,30.7,76.5
2020-12-22,Aceh,0.0,31.4,52.6
2020-12-23,Aceh,0.0,30.6,73.0
2020-12-24,Aceh,12.51,26.3,95.7
2020-12-25,Aceh,0.0,33.0,57.7
2020-12-26,Aceh,0.0,31.6,63.7
2020-12-27,Aceh,45.6,31.2,92.3
2020-12-28,Aceh,0.0,28.6,57.0
2020-12-29,Aceh,57.66,28.6,82.3
2020-12-30,Aceh,0.0,31.2,63.0
2020-12-31,Aceh,7.33,26.6,81.2
2021-01-01,Aceh,0.0,32.1,67.3
2021-01-02,Aceh,0.0,28.9,69.6
2021-01-03,Aceh,74.02,31.3,87.1
2021-01-04,Aceh,0.0,32.2,58.2
2021-01-05,Aceh,0.0,33.1,55.8
2021-01-06,Aceh,8.91,28.2,91.6
2021-01-07,Aceh,0.0,29.6,54.1
2021-01-08,Aceh,0.0,31.4,65.7
2021-01-09,Aceh,0.0,33.6,88.2
2021-01-10,Aceh,26.73,29.0,87.9
2021-01-11,Aceh,0.0,30.4,51.7
2021-01-12,Aceh,21.38,29.4,95.8
2021-01-13,Aceh,0.0,29.7,64.9
2021-01-14,Aceh,0.0,33.7,61.2
2021-01-15,Aceh,0.0,32.9,65.8
2021-01-16,Aceh,18.51,29.1,88.0
2021-01-17,Aceh,17.41,26.5,85.1
2021-01-18,Aceh,0.0,32.0,62.7
2021-01-19,Aceh,0.0,32.4,64.7
2021-01-20,Aceh,0.0,33.6,58.5
2021-01-21,Aceh,0.0,33.1,54.3
2021-01-22,Aceh,72.39,28.1,87.6
2021-01-23,Aceh,0.0,28.4,58.5
2021-01-24,Aceh,0.0,30.1,63.6
2021-01-25,Aceh,0.0,33.1,52.2
2021-01-26,Aceh,0.0,31.6,79.9
2021-01-27,Aceh,12.48,27.2,86.5
2021-01-28,Aceh,11.76,28.9,91.0
2021-01-29,Aceh,28.78,32.6,84.4
2021-01-30,Aceh,39.58,29.1,88.8
2021-01-31,Aceh,0.0,31.9,63.3
2021-02-01,Aceh,0.0,30.9,68.9
2021-02-02,Aceh,0.0,30.0,64.7
2021-02-03,Aceh,0.0,34.4,63.4
2021-02-04,Aceh,6.63,27.9,73.5
2021-02-05,Aceh,13.87,26.7,90.2
2021-02-06,Aceh,0.0,28.8,60.9
2021-02-07,Aceh,0.0,36.3,58.9
2021-02-08,Aceh,0.0,32.6,73.0
2021-02-09,Aceh,0.0,32.1,57.5
2021-02-10,Aceh,75.64,31.4,83.2
2021-02-11,Aceh,23.0,26.4,91.5
2021-02-12,Aceh,44.96,26.7,90.9
2021-02-13,Aceh,33.33,29.2,91.6
2021-02-14,Aceh,15.41,27.5,87.3
2021-02-15,Aceh,11.6,29.9,92.6
2021-02-16,Aceh,0.0,33.0,56.5
2021-02-17,Aceh,26.1,25.9,75.2
2021-02-18,Aceh,30.39,28.3,86.1
2021-02-19,Aceh,0.0,31.7,73.6
2021-02-20,Aceh,0.0,30.8,73.4
2021-02-21,Aceh,0.0,30.4,69.9
2021-02-22,Aceh,0.0,33.5,54.6
2021-02-23,Aceh,0.0,33.0,69.0
2021-02-24,Aceh,0.0,30.7,65.3
2021-02-25,Aceh,0.0,29.0,68.1
2021-02-26,Aceh,0.0,35.4,46.0
2021-02-27,Aceh,0.0,32.2,72.5
2021-02-28,Aceh,0.0,32.8,58.8
2021-03-01,Aceh,0.0,33.0,62.9
2021-03-02,Aceh,0.0,30.3,67.6
2021-03-03,Aceh,0.0,29.2,53.0
2021-03-04,Aceh,27.71,27.7,85.1
2021-03-05,Aceh,0.0,29.1,53.9
2021-03-06,Aceh,33.41,27.3,80.9
2021-03-07,Aceh,0.0,27.8,67.2
2021-03-08,Aceh,38.21,24.9,91.3
2021-03-09,Aceh,0.0,32.4,56.6
2021-03-10,Aceh,0.0,30.9,66.8
2021-03-11,Aceh,0.0,35.7,83.9
2021-03-12,Aceh,0.0,34.0,70.9
2021-03-13,Aceh,19.89,30.6,84.1
2021-03-14,Aceh,0.0,31.1,74.5
2021-03-15,Aceh,0.0,33.4,53.6
2021-03-16,Aceh,17.15,27.8,84.4
2021-03-17,Aceh,0.0,32.4,70.8
2021-03-18,Aceh,45.51,29.2,90.7
2021-03-19,Aceh,15.65,25.5,86.7
2021-03-20,Aceh,22.26,24.5,90.2
2021-03-21,Aceh,0.0,31.6,70.1
2021-03-22,Aceh,0.0,30.9,53.9
2021-03-23,Aceh,19.21,22.3,84.2
2021-03-24,Aceh,0.0,30.8,69.7
2021-03-25,Aceh,0.0,32.8,59.3
2021-03-26,Aceh,0.0,31.8,63.0
2021-03-27,Aceh,26.02,27.6,89.6
2021-03-28,Aceh,9.96,28.0,81.3
2021-03-29,Aceh,21.62,25.7,88.7
2021-03-30,Aceh,15.95,28.1,87.6
2021-03-31,Aceh,0.0,31.8,59.0
2021-04-01,Aceh,35.0,25.5,78.3
2021-04-02,Aceh,0.0,36.8,48.8
2021-04-03,Aceh,44.01,26.5,80.9
2021-04-04,Aceh,0.0,34.0,91.6
2021-04-05,Aceh,27.41,29.4,86.9
2021-04-06,Aceh,63.24,25.5,84.7
2021-04-07,Aceh,0.0,32.9,74.0
2021-04-08,Aceh,0.0,35.5,54.7
2021-04-09,Aceh,0.0,32.0,57.7
2021-04-10,Aceh,0.0,30.7,64.4
2021-04-11,Aceh,0.0,30.7,57.0
2021-04-12,Aceh,43.94,26.5,86.6
2021-04-13,Aceh,0.0,31.5,61.4
2021-04-14,Aceh,0.0,33.0,73.8
2021-04-15,Aceh,0.0,31.8,55.3
2021-04-16,Aceh,0.0,32.0,60.7
2021-04-17,Aceh,0.0,34.3,46.7
2021-04-18,Aceh,0.0,32.4,83.7
2021-04-19,Aceh,0.0,34.2,72.7
2021-04-20,Aceh,0.0,31.6,69.8
2021-04-21,Aceh,0.0,30.3,73.3
2021-04-22,Aceh,0.0,31.1,61.7
2021-04-23,Aceh,14.38,26.1,87.1
2021-04-24,Aceh,10.63,28.4,85.1
2021-04-25,Aceh,0.0,34.8,67.7
2021-04-26,Aceh,0.0,31.9,54.4
2021-04-27,Aceh,0.0,32.9,53.1
2021-04-28,Aceh,16.3,31.6,86.1
2021-04-29,Aceh,0.0,32.4,61.5
2021-04-30,Aceh,24.5,28.6,80.0
2021-05-01,Aceh,0.0,34.3,63.3
2021-05-02,Aceh,0.0,34.6,78.0
2021-05-03,Aceh,0.0,32.0,70.5
2021-05-04,Aceh,0.0,30.3,62.6
2021-05-05,Aceh,3.71,31.2,83.4
2021-05-06,Aceh,0.0,29.0,77.4
2021-05-07,Aceh,0.0,32.8,64.8
2021-05-08,Aceh,0.0,32.7,57.1
2021-05-09,Aceh,0.0,31.1,67.0
2021-05-10,Aceh,0.0,31.2,70.2
2021-05-11,Aceh,0.0,33.7,51.5
2021-05-12,Aceh,0.0,28.1,66.3
2021-05-13,Aceh,0.0,33.0,66.8
2021-05-14,Aceh,0.0,33.4,71.7
2021-05-15,Aceh,0.0,32.8,62.6
2021-05-16,Aceh,0.0,30.1,66.5
2021-05-17,Aceh,0.0,34.2,63.8
2021-05-18,Aceh,0.0,32.5,64.4
2021-05-19,Aceh,3.2,27.8,83.9
2021-05-20,Aceh,0.0,32.8,70.1
2021-05-21,Aceh,0.0,31.5,73.9
2021-05-22,Aceh,0.0,30.9,68.7
2021-05-23,Aceh,16.03,28.0,83.5
2021-05-24,Aceh,0.0,28.8,72.8
2021-05-25,Aceh,0.0,33.9,82.1
2021-05-26,Aceh,0.0,33.5,58.5
2021-05-27,Aceh,5.28,30.3,86.7
2021-05-28,Aceh,11.0,28.5,88.2
2021-05-29,Aceh,0.0,32.4,75.0
2021-05-30,Aceh,0.0,28.4,58.1
2021-05-31,Aceh,0.0,33.0,78.7
2021-06-01,Aceh,0.0,36.2,53.9
2021-06-02,Aceh,0.0,35.3,72.4
2021-06-03,Aceh,0.0,30.1,65.3
2021-06-04,Aceh,0.0,36.3,63.2
2021-06-05,Aceh,0.0,35.0,71.1
2021-06-06,Aceh,0.0,30.8,66.9
2021-06-07,Aceh,0.0,31.1,42.9
2021-06-08,Aceh,3.51,26.6,83.9
2021-06-09,Aceh,0.0,27.9,50.0
2021-06-10,Aceh,0.0,33.5,63.0
2021-06-11,Aceh,5.03,30.2,82.1
2021-06-12,Aceh,0.0,28.2,66.2
2021-06-13,Aceh,0.0,30.4,63.1
2021-06-14,Aceh,0.0,31.4,57.0
2021-06-15,Aceh,0.0,32.0,75.8
2021-06-16,Aceh,0.0,30.6,49.9
2021-06-17,Aceh,0.0,33.7,63.2
2021-06-18,Aceh,0.0,28.8,74.0
2021-06-19,Aceh,0.0,32.3,58.9
2021-06-20,Aceh,0.0,31.5,56.1
2021-06-21,Aceh,0.0,30.2,61.9
2021-06-22,Aceh,0.0,31.7,65.8
2021-06-23,Aceh,7.26,27.7,79.5
2021-06-24,Aceh,0.0,34.8,67.1
2021-06-25,Aceh,0.0,33.5,58.9
2021-06-26,Aceh,0.0,32.7,65.6
2021-06-27,Aceh,2.63,24.6,81.8
2021-06-28,Aceh,0.0,30.9,65.9
2021-06-29,Aceh,0.6,29.5,89.8
2021-06-30,Aceh,0.0,32.9,83.4
2021-07-01,Aceh,0.0,30.5,75.0
2021-07-02,Aceh,0.0,30.7,70.3
2021-07-03,Aceh,0.0,33.0,63.7
2021-07-04,Aceh,0.0,33.6,46.6
2021-07-05,Aceh,0.0,34.3,75.3
2021-07-06,Aceh,0.0,34.3,62.5
2021-07-07,Aceh,1.62,26.1,82.8
2021-07-08,Aceh,11.99,30.8,84.2
2021-07-09,Aceh,0.0,30.6,74.6
2021-07-10,Aceh,0.0,35.2,83.9
2021-07-11,Aceh,3.42,28.0,82.6
2021-07-12,Aceh,0.0,31.1,63.9
2021-07-13,Aceh,1.84,27.3,83.7
2021-07-14,Aceh,0.0,35.2,64.1
2021-07-15,Aceh,0.0,32.5,76.7
2021-07-16,Aceh,0.0,32.7,49.6
2021-07-17,Aceh,0.0,29.0,53.1
2021-07-18,Aceh,0.0,32.3,80.7
2021-07-19,Aceh,0.0,32.5,47.0
2021-07-20,Aceh,0.0,30.9,52.4
2021-07-21,Aceh,0.0,30.3,45.2
2021-07-22,Aceh,0.0,33.5,63.3
2021-07-23,Aceh,0.0,29.8,39.7
2021-07-24,Aceh,0.0,31.4,67.9
2021-07-25,Aceh,0.0,33.8,52.7
2021-07-26,Aceh,0.0,33.0,64.7
2021-07-27,Aceh,0.0,30.9,67.5
2021-07-28,Aceh,0.0,32.9,61.4
2021-07-29,Aceh,0.0,32.6,71.2
2021-07-30,Aceh,0.0,31.3,63.8
2021-07-31,Aceh,0.0,29.7,76.3
2021-08-01,Aceh,0.0,31.9,50.5
2021-08-02,Aceh,0.0,30.3,59.0
2021-08-03,Aceh,0.0,34.7,92.2
